epoch,total_params,train_loss,val_loss,train_loss_delta_%,val_loss_delta_%,train_wer,val_wer,train_wer_delta_%,val_wer_delta_%
1,7259933,3.298568,2.755678,,,99.9989,100,,
2,7259933,1.598566,1.0203,-51.54,-62.97,88.2311,78.1782,-11.77,-21.82
3,7259933,1.050831,0.755497,-34.26,-25.95,72.8932,62.6942,-17.38,-19.81
4,7259933,0.848426,0.643212,-19.26,-14.86,62.0028,55.6108,-14.94,-11.3
5,7259933,0.742159,0.578973,-12.53,-9.99,55.2036,50.6897,-10.97,-8.85
6,7259933,0.687729,0.654224,-7.33,13,50.9045,57.3133,-7.79,13.07
7,7259933,0.622715,0.589379,-9.45,-9.91,46.9621,51.1868,-7.74,-10.69
8,7259933,0.583,0.509341,-6.38,-13.58,43.2448,44.6875,-7.92,-12.7
9,7259933,0.555513,0.583315,-4.71,14.52,43.0695,50.3169,-0.41,12.6
10,7259933,0.538675,0.44745,-3.03,-23.29,41.4896,38.9959,-3.67,-22.5
11,7259933,0.524305,0.495581,-2.67,10.76,40.0358,48.0179,-3.5,23.14
12,7259933,0.512314,0.507992,-2.29,2.5,39.2846,44.0661,-1.88,-8.23
13,7259933,0.503236,0.487805,-1.77,-3.97,39.9006,41.966,1.57,-4.77
14,7259933,0.492939,0.439127,-2.05,-9.98,38.0576,41.6304,-4.62,-0.8
15,7259933,0.48365,0.391408,-1.88,-10.87,38.19,36.0258,0.35,-13.46
16,7259933,0.474089,0.517204,-1.98,32.14,36.5439,43.9667,-4.31,22.04
17,7259933,0.466697,0.417948,-1.56,-19.19,37.4316,37.4922,2.43,-14.73
18,7259933,0.455923,0.458821,-2.31,9.78,36.4036,40.4871,-2.75,7.99
19,7259933,0.44845,0.465029,-1.64,1.35,36.1782,39.058,-0.62,-3.53
20,7259933,0.438729,0.494974,-2.17,6.44,34.3326,42.2766,-5.1,8.24
21,7259933,0.430737,0.360557,-1.82,-27.16,35.1568,37.2934,2.4,-11.79
22,7259933,0.420265,0.359341,-2.43,-0.34,34.6364,36.7342,-1.48,-1.5
23,7259933,0.410455,0.434177,-2.33,20.83,33.4654,39.2693,-3.38,6.9
24,7259933,0.401762,0.368442,-2.12,-15.14,31.8745,35.1808,-4.75,-10.41
25,7259933,0.392015,0.402347,-2.43,9.2,31.3738,35.3051,-1.57,0.35
26,7259933,0.381766,0.345455,-2.61,-14.14,30.7286,34.2861,-2.06,-2.89
27,7259933,0.370965,0.363365,-2.83,5.18,31.9915,32.5836,4.11,-4.97
28,7259933,0.360761,0.335033,-2.75,-7.8,29.7682,32.3475,-6.95,-0.72
29,7259933,0.349032,0.393453,-3.25,17.44,29.4147,33.7269,-1.19,4.26
30,7259933,0.335673,0.370616,-3.83,-5.8,28.1576,35.6033,-4.27,5.56
